province,province_abb,hr_uid,region,pop,area,popdens,pwpd_250m,pwpd_1km,pwpd_30as,pwlogpd_250m,pwlogpd_1km,pwlogpd_30as,gamma_250m,gamma_1km,gamma_30as
Nova Scotia,NS,1204,Zone 4 - Central,418273,7393,56.576297,3393.072266,1990.226146,2149.976807,7.563621521,6.933277691,6.797175884,0.350478552,0.401438149,0.408990939
NWT,NT,6101,Northwest Territories,41343,1292574,0.031984949,2596.249023,1003.757576,1312.53418,7.116606236,6.089253008,6.247133732,0.671088811,0.736442675,0.754466397
Nunavut,NU,6201,Nunavut,25999,2078563,0.012507938,2591.569824,636.109156,1007.270264,7.030745506,5.86291352,5.943964958,0.706788061,0.746742735,0.775897264
Ontario,ON,3500,Entire Province,13554115,983902,13.77587649,5713.439453,3378.492162,3630.687988,7.94442606,7.442498345,7.39281559,0.363728259,0.398854399,0.403962747
Ontario,ON,3526,The District of Algoma Health Unit,103626,44446,2.331522663,1775.803101,1143.769212,1143.891357,6.977982521,6.341707289,6.042343616,0.492443574,0.580477647,0.580991499
Ontario,ON,3527,Brant County Health Unit,150005,1142,131.3230994,2788.598145,1785.241698,1834.765747,7.467274666,6.914121772,6.792628765,0.31137505,0.37127357,0.37444996
Ontario,ON,3530,Durham Regional Health Unit,662999,2621,252.9240779,3963.455811,2591.408257,2734.68457,7.898007393,7.494437074,7.502563477,0.258528319,0.296198053,0.303265637
Ontario,ON,3533,Grey Bruce Health Unit,150930,8640,17.4694362,1057.854248,554.8092772,617.1203613,6.132850647,5.111828669,4.750964165,0.346679679,0.381292944,0.392022586
Ontario,ON,3534,Haldimand-Norfolk Health Unit,111332,2971,37.47398367,1077.641724,608.0896436,588.8821411,6.142918587,5.279412697,5.017945766,0.311896816,0.347825996,0.344390506
Ontario,ON,3535,"Haliburton, Kawartha, Pine Ridge District Health Unit",176972,9906,17.86494083,1083.207397,558.2692347,556.1014404,6.244630337,5.263417348,4.85741663,0.342827409,0.374493364,0.37474764
Ontario,ON,3536,Halton Regional Health Unit,571293,984,580.3171043,4519.668457,2802.127991,3072.559814,8.112059593,7.683592939,7.745943546,0.212383774,0.228822282,0.242125407
Ontario,ON,3537,City of Hamilton Health Unit,542073,1149,471.8902937,5051.532227,3397.202362,3448.477295,8.106129646,7.74320406,7.723025322,0.241440113,0.280766311,0.281896076
Ontario,ON,3538,Hastings and Prince Edward Counties Health Unit,144873,7430,19.4983418,1485.808594,789.4335236,833.4710693,6.542139053,5.560612667,5.122355938,0.370822479,0.414749139,0.420513853
Ontario,ON,3539,Huron Perth Public Health Unit,135609,5611,24.16637562,1387.903687,769.4631357,849.2946777,6.455118656,5.539510947,5.313086033,0.355154134,0.400356801,0.411150468
Ontario,ON,3540,Chatham-Kent Health Unit,102209,2547,40.12199181,1702.125854,1070.422046,1153.085083,6.763534546,6.097984608,5.980337143,0.353043167,0.419148561,0.42805126
Ontario,ON,3541,"Kingston, Frontenac and Lennox and Addington Health Unit",198956,7198,27.64141607,2692.226807,1468.187511,1610.12146,7.24296236,6.421566611,6.169158459,0.392892093,0.448032699,0.458586517
Ontario,ON,3542,Lambton Health Unit,110999,2966,37.42356651,1965.378052,1266.909719,1378.857788,6.966301441,6.342201942,6.239396095,0.367876895,0.442204863,0.449745066
Ontario,ON,3543,"Leeds, Grenville and Lanark District Health Unit",151272,6740,22.44328851,1284.338379,611.1872875,598.2077637,6.445462704,5.341458263,4.726382256,0.349228164,0.375268636,0.370396332
Ontario,ON,3544,Middlesex-London Health Unit,463905,3336,139.0632592,3666.365723,2314.988225,2358.352295,7.749657631,7.309097612,7.257190704,0.300596992,0.346611907,0.348929607
Ontario,ON,3546,Niagara Regional Area Health Unit,432804,1892,228.6960781,2466.237793,1608.426883,1730.818726,7.348337173,6.925019854,6.964936733,0.230471127,0.258706331,0.269064341
Ontario,ON,3547,North Bay Parry Sound District Health Unit,128386,19018,6.750784706,1638.452637,916.4020067,962.9376831,6.602712154,5.736519131,5.186364174,0.434972913,0.498625505,0.50333914
Ontario,ON,3549,Northwestern Health Unit,69072,204607,0.337582121,1080.921143,438.7065687,475.8415222,6.174527645,5.121285342,4.46667099,0.538049504,0.585002923,0.591783145
Ontario,ON,3551,City of Ottawa Health Unit,967506,2892,334.5371445,5482.751465,3200.195657,3511.645508,8.17881012,7.716431414,7.739186764,0.260336252,0.28329815,0.294989248
Ontario,ON,3553,Peel Regional Health Unit,1452109,1264,1148.640232,8117.645508,4800.201394,5138.051758,8.629842758,8.270438421,8.315764427,0.197226892,0.20118182,0.210172908
Ontario,ON,3555,Peterborough CountyCity Health Unit,139768,4213,33.1775617,1953.271973,1219.525048,1328.512939,6.995932579,6.208670338,6.044185638,0.366542646,0.431771048,0.441970146
