hr_uid,region,area,province,province_abb,pop,pwpd,pwlogpd,popdens,gamma
4800,Entire Province,660764.8552684694,Alberta,AB,4055235.1577947354,2219.2167215720888,6.983474412914593,6.137183485866677,0.4395549789575618
4831,South Zone,65784.82564565688,Alberta,AB,297010.2632391503,1205.3618536143708,6.252463225431004,4.514874977992116,0.5036131996973446
4832,Calgary Zone,39403.134537064,Alberta,AB,1531300.2116366501,2841.020854132292,7.580318036994704,38.86239583798224,0.4055994711520804
4833,Central Zone,95308.19686131369,Alberta,AB,469375.25732369337,951.920604756865,5.554654332441926,4.924815207727598,0.45915866264236144
4834,Edmonton Zone,11569.971799788458,Alberta,AB,1297859.4383895348,2598.670437080078,7.479637680382304,112.17481432524015,0.3358956997816074
4835,North Zone,448698.7264246465,Alberta,AB,459689.98720570706,1025.6217793124601,5.5256955880154575,1.0244958591004747,0.5308742043876948
500,Entire Province,945412.791125865,BC,BC,4649668.775696881,3228.1087563730307,7.378252891533676,4.918136098158482,0.4714401050182089
591,Fraser Health,15661.342738604151,BC,BC,1739826.7031766733,3389.688528552379,7.780584763063531,111.09051964542721,0.35388398371041174
592,Interior Health,217224.36257275046,BC,BC,756402.453304315,988.0222561573809,6.1345677211319325,3.4821253212378,0.45961483429239725
593,Vancouver Island Health,55537.71368086693,BC,BC,720817.097141528,1645.2521663917448,6.856544927179026,12.978875963161116,0.44324088637361414
594,Northern Health,605913.751425936,BC,BC,278356.4736764731,745.569824009671,5.69831800333898,0.4593994987263431,0.5551832810231796
595,Vancouver  Coastal Health,51075.62070770743,BC,BC,1154266.048397892,6039.650343262314,8.317737816880157,22.59915851054377,0.5154650376903431
4600,Entire Province,610647.4126783111,Manitoba,MB,1283928.9051326157,1980.6825141559762,6.657302471287477,2.102569958499094,0.5140290512892776
4601,Winnipeg Regional Health Authority,654.4386168621107,Manitoba,MB,719456.6566394549,3059.8213688229407,7.849106083488165,1099.3493325456425,0.15787679367759055
4602,Prairie Mountain Health,68711.83601133293,Manitoba,MB,169188.69810112572,771.7973724901199,5.118331706183725,2.462293367815419,0.5160527635452141
4603,Interlake-Eastern Regional Health Authority,77809.76602525965,Manitoba,MB,127618.92772018243,318.8724700849152,4.597355290755147,1.640140232252505,0.4679452223995757
4604,Northern Regional Health Authority,435966.0812112759,Manitoba,MB,71341.49594741115,812.6707458251668,5.996138736809141,0.16364001472132408,0.655387200140895
4605,Southern HealthSante Sud,27505.29081358056,Manitoba,MB,196323.12672444148,572.5050312843777,5.195335526250063,7.137649554590719,0.4289356940611579
1300,Entire Province,72654.14434256437,New Brunswick,NB,739904.5147324109,637.6947073281559,5.594024265337794,10.183927172051746,0.3695949985313491
1301,Zone 1 (Moncton area),10155.43068147143,New Brunswick,NB,212967.02261476556,1023.7494345077694,6.11195597056525,20.970752427400605,0.4214391790554977
1302,Zone 2 (Saint John area),10507.132423967141,New Brunswick,NB,151600.74083125452,553.1918156099697,5.568539764812547,14.428364915764062,0.39379953951004193
1303,Zone 3 (Fredericton area),23869.819533059792,New Brunswick,NB,185119.91993676417,588.8262936997003,5.503019422465944,7.755396712588143,0.42952215082879047
1304,Zone 4 (Edmundston area),7799.697860208093,New Brunswick,NB,44481.30088459863,363.3093441392573,5.1715750453570335,5.702951791444379,0.46355108238461773
1305,Zone 5 (Campbellton area),5510.119693930104,New Brunswick,NB,25119.63760619762,434.3199614980359,5.20819126723462,4.558818864473883,0.5289687976532211
1306,Zone 6 (Bathurst area),4790.515814689167,New Brunswick,NB,76087.17753431853,286.2862405441156,5.155324254729685,15.882877852320679,0.341233922080801
1307,Zone 7 (Miramichi area),10021.42833523864,New Brunswick,NB,44528.71532451187,271.45212254548863,4.971289631077183,4.443350172742767,0.4463919310287649
1000,Entire Province,401136.28304551606,NL,NL,478464.90529621183,985.4777156695134,6.139454256931542,1.1927739412241636,0.5206026553389366
1011,Eastern Regional Health Authority,21168.348177535732,NL,NL,298114.40481138637,1228.5454269058603,6.418114622812184,14.08302633304904,0.44864439837793346
1012,Central Regional Health Authority,46948.8507637531,NL,NL,80674.05150416319,550.5227765532545,5.604201673331727,1.7183392179313504,0.536358634885004
1013,Western Regional Health Authority,34279.6423427959,NL,NL,69074.55665572174,635.9050564311142,5.799805309423298,2.0150314278363006,0.5510673561996081
1014,Labrador-Grenfell Regional Health Authority,298739.44176143134,NL,NL,30601.892324940534,553.2876959300768,5.602540592254076,0.10243673264067597,0.6816978728429343
1200,Entire Province,55233.375203833144,Nova Scotia,NS,876503.0606342969,1165.3462249160618,6.0173589237749505,15.869083817522496,0.39346769364254836
1201,Zone 1 - Western,18885.92268696878,Nova Scotia,NS,181551.7051585794,305.04412364860826,4.9307667471016075,9.613070442348544,0.3511347074386337
1202,Zone 2 - Northern,12433.844346913567,Nova Scotia,NS,146326.78706460982,465.6933761665497,5.28337255747214,11.768426802039892,0.3901185789562112
