rank_GPW_30as,rank_GPW_2.5am,rank_GHS_1km,name,threelett,area,pop,pwpd_GHS_1km,pwlogpd_GHS_1km,popdens,gamma_GHS_1km,pwpd_GPW_30as,pwlogpd_GPW_30as,pwpd_GPW_2.5am,pwlogpd_GPW_2.5am,pwpd_GPW_15am,pwlogpd_GPW_15am,pwpd_GPW_30am,pwlogpd_GPW_30am,pwpd_GPW_1deg,pwlogpd_GPW_1deg
29,21,24,Senegal,SEN,196710,14840855.43,12854.24782,8.75440443,75.44535322,0.421512529,3767.072266,5.80082655,3404.501221,5.737867355,188.2362061,4.757261753,809.3477783,5.415812492,129.1691589,4.441709518
30,18,98,Japan,JPN,377971.0156,121638503.4,4781.906062,7.873505862,321.8196591,0.210129483,3753.424805,7.233472347,3618.704346,7.198842049,2701.359375,6.947838306,2449.945557,6.857699394,1713.379395,6.743687153
31,28,46,Nepal,NPL,147180,29549635.97,9222.806734,7.802533479,200.7720884,0.321634753,3701.393555,6.570640087,2956.382324,6.467153549,991.8040771,6.132786751,648.0245972,6.086582661,485.2981262,5.962691307
32,26,71,Jordan,JOR,89320,7563762.429,6964.272876,8.307209686,84.68162146,0.386812048,3607.104248,7.132015705,3190.071777,7.053816795,1177.141846,6.554032803,588.3623047,6.079971313,417.763092,5.69134903
33,211,139,Monaco,MCO,2,10691.31655,2439.120541,7.413680098,5345.658277,-1.132006558,3365.532715,7.794259071,0,0,0,0,0,0,0,0
34,27,70,Dominican Republic,DOM,48670,10442291.03,7036.543126,8.33829932,214.5529286,0.323392445,3331.309326,6.892375946,2991.254395,6.79308176,698.2580566,5.925347805,351.0263977,5.641726494,340.2622986,5.649409294
35,29,114,Malta,MLT,320,379782.6643,3799.676798,7.929560308,1186.820826,0.201729039,3289.891113,7.725808144,2698.840576,7.638550758,1303.35144,7.172694206,0,0,0,0
36,67,37,Mauritania,MRT,1030700,4059325.758,10722.45271,7.522896189,3.938416375,0.571245127,3223.64624,4.686220169,1593.290039,4.494728088,275.9287109,3.645688534,77.66781616,3.230752707,28.09220314,2.830687284
37,38,86,Kyrgyzstan,KGZ,199949.0039,5833207.527,5575.724588,7.742933931,29.1734763,0.430361797,3215.6604,5.192157269,2378.594238,5.076612949,378.5968018,4.654271603,152.234726,4.353159904,164.5662537,4.669418335
38,52,57,Kenya,KEN,580370,46005813.48,7983.472498,7.494759897,79.2697994,0.34753411,3147.384766,6.138082027,1922.672119,6.024056435,659.8457642,5.685575485,486.8995667,5.503771782,297.2138062,5.264335155
