rank_GHS_250m,rank_GHS_1km,rank_GPW_30as,fips_state,fips_county,county,countylong,state,stateabb,pop,landarea,popdens,pwpd_GHS_250m,pwpd_GHS_1km,pwpd_GPW_30as,pwpd_GPW_2.5as,pwlogpd_GHS_250m,pwlogpd_GHS_1km,pwlogpd_GPW_30as,pwlogpd_GPW_2.5as,gamma_GHS_250m,gamma_GHS_1km
1,1,1,36,61,New York,New York County,New York,NY,1606067.896,58.690498,27365.0412,42508.13672,28169.79446,35636.3125,25673.60938,10.51993084,10.13923036,10.39307022,10.13461399,0.064676914,0.007117382
2,2,2,36,5,Bronx,Bronx County,New York,NY,1379199.606,108.909571,12663.71351,30128.62695,21293.50868,22122.41992,15289.71094,10.0848875,9.78668449,9.843015671,9.529808044,0.114588126,0.110789806
3,21,20,51,710,Norfolk,Norfolk city,Virginia,VA,251417.2532,137.981426,1822.109399,28489.72461,3704.127435,4198.826172,1843.356323,8.363070488,7.750637476,7.888120174,7.487876892,0.360616203,0.143989392
4,3,3,36,47,Kings,Kings County,New York,NY,2494190.358,179.67131,13881.96233,23622.21289,17947.26518,18786.94531,15943.02246,9.921315193,9.703766883,9.765069962,9.637205124,0.066486664,0.049478142
5,4,4,36,81,Queens,Queens County,New York,NY,2201590.647,281.734463,7814.417248,19422.30078,13978.06069,15094.13672,10256.43262,9.557589531,9.299815675,9.390415192,9.156944275,0.108227567,0.103088499
6,5,5,34,17,Hudson,Hudson County,New Jersey,NJ,649879.9743,119.64083,5431.924655,15485.5459,10134.26661,12197.00098,9707.96875,9.450896263,9.0330027,9.256873131,8.988268852,0.140591627,0.130343747
7,426,477,51,81,Greensville,Greensville County,Virginia,VA,12322.15569,764.634553,16.11509137,14743.79785,1008.297955,1013.177917,148.0195618,6.724029064,5.079612295,4.782271385,4.238631248,0.723392519,0.622987627
8,6,6,6,75,San Francisco,San Francisco County,California,CA,790418.088,121.477743,6506.690596,13458.77734,9885.432968,10618.10645,7760.778809,9.271392822,9.032906408,9.094740868,8.902761459,0.093613847,0.0871364
9,572,668,5,79,Lincoln,Lincoln County,Arkansas,AR,13867.89858,1454.383536,9.535241729,12590.10156,855.6103791,807.177002,78.35905457,6.675377846,5.028379529,4.401154518,3.451175928,0.714970536,0.617496865
10,568,1776,22,125,West Feliciana,West Feliciana Parish,Louisiana,LA,15689.11414,1044.589938,15.01940003,12131.93848,857.6564043,331.6525574,118.1900482,7.14567852,5.439437887,4.651390076,3.940920115,0.688169712,0.581878856
11,7,7,25,25,Suffolk,Suffolk County,Massachusetts,MA,722997.5921,150.863059,4792.409732,10807.17871,7027.469023,7901.347168,5372.022949,9.03000164,8.670229988,8.802959442,8.52524662,0.10365816,0.076308778
12,251,365,12,119,Sumter,Sumter County,Florida,FL,122330.3505,1442.966763,84.77697039,10471.43359,1313.317691,1161.58728,447.9159546,7.234574318,6.413612075,6.279278755,5.605536938,0.479245378,0.376700014
13,9,9,11,1,District of Columbia,District of Columbia,District of Columbia,DC,604321.9403,158.340389,3816.600074,9838.501953,5996.715315,6462.105469,4287.641602,8.888243675,8.511162144,8.580887794,8.301621437,0.119485509,0.089215092
14,13,10,51,13,Arlington,Arlington County,Virginia,VA,207653.4074,67.332991,3083.977175,9254.811523,4716.866872,5336.669922,3812.025635,8.714585304,8.308007926,8.397706985,8.213525772,0.153217321,0.100940623
15,8,8,42,101,Philadelphia,Philadelphia County,Pennsylvania,PA,1499409.493,347.781835,4311.350801,9248.393555,6877.852664,7381.439941,5360.64502,8.951714516,8.68843783,8.759319305,8.498185158,0.087600146,0.079817006
16,727,448,13,309,Wheeler,Wheeler County,Georgia,GA,7963.550457,765.314383,10.40559362,9110.611328,734.6559166,1050.255371,80.8583374,6.334665775,4.872947206,4.561742783,3.660636425,0.718577619,0.641095622
17,11,16,51,510,Alexandria,Alexandria city,Virginia,VA,154894.3735,38.679383,4004.571983,8522.400391,4910.273051,4958.935547,2904.825684,8.728871346,8.383733283,8.379062653,7.969805717,0.127507708,0.055779956
18,503,858,28,133,Sunflower,Sunflower County,Mississippi,MS,27224.56503,1807.18701,15.06460863,8224.646484,926.5903734,673.2606201,196.7309723,7.029027939,5.925573925,5.711565018,4.530360699,0.614123748,0.549256441
19,392,1357,60,10,Eastern,Eastern District,American Samoa,AS,21326.50916,65.124866,327.4710639,8212.400391,1050.337141,450.5512085,344.8829956,8.409072876,6.622135313,5.975964069,5.813688278,0.464871553,0.279066394
20,271,373,48,25,Bee,Bee County,Texas,TX,31395.39009,2279.80949,13.7710586,7638.434082,1272.357331,1152.70166,193.7671661,7.172784805,6.113877146,5.836379528,4.57679224,0.601781502,0.585378545
21,19,19,15,3,Honolulu,Honolulu County,Hawaii,HI,984196.088,1555.472299,632.7313502,7631.625488,3954.146881,4208.044922,2280.380371,8.51375103,7.912935916,7.930736542,7.383484364,0.245996796,0.249332012
22,871,1170,48,313,Madison,Madison County,Texas,TX,14063.07914,1207.103453,11.65026834,7471.221191,637.6593816,519.3707275,52.73590851,6.571402073,5.154986771,4.450705528,3.344417572,0.655987963,0.564048327
23,642,912,24,39,Somerset,Somerset County,Maryland,MD,27504.09228,828.145299,33.2116747,7465.136719,785.7247983,639.2745972,139.2329407,6.714963436,5.492312431,5.220040321,4.35097456,0.572053123,0.470846306
24,887,861,12,67,Lafayette,Lafayette County,Florida,FL,9922.362747,1407.256297,7.050856882,7380.755371,627.347895,671.2531738,59.68318176,6.132501602,4.744674353,4.368222713,3.430200815,0.694364928,0.619134525
25,15,11,36,85,Richmond,Richmond County,New York,NY,479504.9705,148.976885,3218.653488,7175.178711,4686.657188,5288.105469,3618.561279,8.660236359,8.328142298,8.442731857,8.134922028,0.103797865,0.075094356
26,12,15,6,37,Los Angeles,Los Angeles County,California,CA,9888900.845,10511.86149,940.7373616,7117.371582,4824.798806,4998.635742,3744.188965,8.534631729,8.240590421,8.264558792,8.020080566,0.168309654,0.176545842
27,10,12,34,13,Essex,Essex County,New Jersey,NJ,764247.1468,326.557454,2340.314506,7076.711426,5048.085726,5247.192871,4179.917969,8.51470089,8.268566599,8.306642532,8.127846718,0.128116496,0.132799468
28,17,17,72,127,San Juan,San Juan Municipio,Puerto Rico,PR,362801.2357,124.029895,2925.111206,7075.150391,4401.928785,4828.292969,3605.505371,8.580008507,8.244359732,8.320612907,8.108147621,0.111838798,0.084785476
29,14,13,34,31,Passaic,Passaic County,New Jersey,NJ,499422.4932,481.767296,1036.646732,6930.766602,4714.776964,5098.48291,3116.664307,8.333950043,8.001144338,8.054745674,7.719094753,0.211570206,0.245199501
30,996,1300,13,315,Wilcox,Wilcox County,Georgia,GA,9498.296661,978.525378,9.706745348,6863.758301,566.2361457,470.4642029,66.35412598,6.175607204,4.697665713,4.264882565,3.206102133,0.679386345,0.590497035
31,795,625,28,41,Greene,Greene County,Mississippi,MS,14694.88684,1845.983328,7.960465632,6711.5,685.2140315,843.7883911,52.59289551,5.635375023,4.264562471,3.798369169,2.946594238,0.653572599,0.592392175
32,690,1041,48,95,Concho,Concho County,Texas,TX,4119.758721,2547.914005,1.616914352,6666.824219,757.1909823,570.0863037,62.48401642,6.541113853,5.162094363,4.71391058,3.054872036,0.784401373,0.784020422
33,16,14,17,31,Cook,Cook County,Illinois,IL,5066464.479,2447.357982,2070.177112,6404.394531,4544.117327,5070.103027,3848.296631,8.411665916,8.131060542,8.205917358,7.975609779,0.1070161,0.100759077
34,22,21,12,86,Miami-Dade,Miami-Dade County,Florida,FL,2597751.795,4920.565755,527.9376244,6303.995605,3698.637025,4180.769531,2973.587646,8.381053925,8.022653131,8.123175621,7.847545624,0.21984701,0.228996656
35,18,18,24,510,Baltimore,Baltimore city,Maryland,MD,600528.8197,209.65097,2864.421852,6284.138184,4172.561563,4493.590332,3267.079834,8.521040916,8.217231031,8.272165298,8.049702644,0.09776818,0.070370879
36,367,458,48,471,Walker,Walker County,Texas,TX,70532.54423,2031.124893,34.72585289,6263.155273,1085.457235,1037.30835,406.0548401,7.219748497,6.118322158,5.685614586,4.991271973,0.50020211,0.451958534
37,1234,2822,2,13,Aleutians East,Aleutians East Borough,Alaska,AK,3355.472667,18091.50198,0.18547231,6018.003906,473.4123231,124.6727219,53.62486649,7.603256702,5.571587093,4.269784451,3.63978672,0.825980996,0.800230366
38,20,22,6,1,Alameda,Alameda County,California,CA,1525726.864,1909.614756,798.9710275,5893.338379,3859.646423,4012.019287,2864.876221,8.385028839,8.048955926,8.085630417,7.737956047,0.193279634,0.208481499
39,1064,1388,12,123,Taylor,Taylor County,Florida,FL,23982.17962,2702.180425,8.875121512,5888.48877,543.7379946,439.9812012,108.337738,6.402920723,5.188679817,4.852814198,4.123317242,0.607937888,0.520793747
40,24,26,72,31,Carolina,Carolina Municipio,Puerto Rico,PR,176366.2214,117.508983,1500.874375,5798.83252,3483.131672,3611.080322,2369.847656,8.321011543,7.919385641,7.951021671,7.612537384,0.181840741,0.176624636
41,25,24,36,119,Westchester,Westchester County,New York,NY,958493.6466,1115.21958,859.4663005,5719.313965,3479.469432,3823.710693,2317.186035,8.021264076,7.619432082,7.683662415,7.307626247,0.194305067,0.199282033
42,26,25,6,59,Orange,Orange County,California,CA,3057036.113,2053.367783,1488.79131,5577.065918,3466.197216,3647.228027,2771.322021,8.327859879,7.979376298,8.022848129,7.787846565,0.126774091,0.110799435
43,28,29,6,85,Santa Clara,Santa Clara County,California,CA,1815554.87,3343.890934,542.9467963,5346.708984,3425.124621,3485.931152,2629.05835,8.271395683,7.95615181,7.957602501,7.699343204,0.210137091,0.226975562
44,29,27,72,33,Cataño,Cataño Municipio,Puerto Rico,PR,29972.83468,12.629291,2373.279282,5219.875977,3149.807977,3603.768066,1595.817017,8.361891747,7.856742983,8.027906418,7.375141144,0.166393061,0.111619373
45,30,31,32,3,Clark,Clark County,Nevada,NV,2301687.563,20439.27697,112.6110071,5187.805664,3096.982599,3191.22876,2247.907715,8.218313217,7.847326351,7.862377644,7.533361912,0.301679123,0.333921687
46,23,23,34,39,Union,Union County,New Jersey,NJ,534390.3458,266.163527,2007.75197,5155.554688,3568.148527,3893.814453,2468.53418,8.207531929,7.957456149,8.014045715,7.707884312,0.112131364,0.102976316
47,27,28,6,81,San Mateo,San Mateo County,California,CA,738589.9708,1161.95702,635.6431074,5147.314453,3430.842967,3533.679932,2303.374023,8.22479248,7.886102056,7.902519226,7.528565884,0.214757101,0.23887181
48,34,34,6,73,San Diego,San Diego County,California,CA,3224974.15,10904.37356,295.75052,4971.754395,2929.967921,3077.495117,2057.806396,8.061573029,7.660070139,7.676590919,7.353736401,0.234093119,0.246665636
49,408,775,48,1,Anderson,Anderson County,Texas,TX,59537.26965,2752.201306,21.63259988,4892.166504,1033.744265,729.1113281,168.806366,6.597754478,5.495377574,5.054538727,4.335569859,0.506859606,0.48821527
50,91,80,42,27,Centre,Centre County,Pennsylvania,PA,161705.517,2871.502921,56.31389606,4861.754883,1989.110216,2255.196045,681.6077881,7.322975159,6.500750994,6.337276459,5.622114658,0.414868821,0.447655975
51,115,121,6,41,Marin,Marin County,California,CA,252455.4317,1347.950152,187.2884033,4843.231934,1839.545991,1926.857056,1007.135864,7.65255928,7.112733298,7.090154648,6.653543472,0.325966677,0.317029766
52,259,159,39,9,Athens,Athens County,Ohio,OH,65334.76241,1304.386904,50.08848388,4823.69873,1290.555446,1702.842407,411.130188,6.822259903,5.847904866,5.680578709,4.933062553,0.459141311,0.452922857
53,288,632,60,50,Western,Western District,American Samoa,AS,33102.9473,72.498512,456.6017479,4795.861328,1232.890202,840.3600464,584.7679443,7.978803158,6.902329014,6.490272522,6.248487949,0.332526623,0.231887376
54,31,36,72,21,Bayamón,Bayamón Municipio,Puerto Rico,PR,202678.8419,114.816263,1765.245067,4754.754395,3004.909193,3043.278076,2353.875977,8.183205605,7.831794474,7.843354702,7.657089233,0.133474497,0.112148526
55,46,58,51,610,Falls Church,Falls Church city,Virginia,VA,11888.87256,5.300262,2243.072618,4730.614258,2555.010148,2468.251709,2162.724121,8.187527657,7.808108771,7.78571701,7.679123878,0.143711821,0.078074698
56,51,42,6,53,Monterey,Monterey County,California,CA,417304.2098,8499.616876,49.09682588,4707.736816,2454.999617,2745.626465,1321.954468,7.87083149,7.268236638,7.282901764,6.548269272,0.385994741,0.4323811
57,38,37,72,137,Toa Baja,Toa Baja Municipio,Puerto Rico,PR,87650.90758,60.201696,1455.954124,4694.5625,2792.383379,3027.23877,1916.514648,8.237174034,7.7333389,7.818241119,7.483712673,0.171204608,0.158926706
58,1536,1386,47,129,Morgan,Morgan County,Tennessee,TN,22862.11838,1352.439675,16.90435352,4616.469238,382.3118736,440.6392822,54.03414917,6.00916338,4.686711336,4.064189434,3.523372173,0.561516804,0.432567301
59,53,54,48,201,Harris,Harris County,Texas,TX,4446365.313,4418.909573,1006.213239,4611.146973,2390.732108,2516.696289,1766.926147,7.991243362,7.558545523,7.581106186,7.30479002,0.136382029,0.103102441
60,81,62,17,19,Champaign,Champaign County,Illinois,IL,210734.0328,2579.920046,81.68238902,4589.064453,2135.16853,2446.812988,1185.637329,7.560662746,6.954107603,6.989478111,6.349003315,0.379114094,0.415435905
61,44,41,6,83,Santa Barbara,Santa Barbara County,California,CA,431659.1063,7084.063392,60.93382886,4550.008789,2562.18111,2772.59375,1549.657715,7.922391891,7.45244271,7.463998795,6.889379501,0.370469231,0.421722661
62,42,45,51,683,Manassas,Manassas city,Virginia,VA,36264.40397,25.509473,1421.605376,4546.013184,2715.297136,2703.807861,2210.638916,8.135165215,7.740696787,7.766664505,7.605978489,0.180728928,0.199785318
63,33,33,8,31,Denver,Denver County,Colorado,CO,602675.3565,397.024773,1517.979223,4537.024902,2936.033759,3090.187256,2413.936523,8.178694725,7.867148184,7.910228729,7.720154285,0.123252803,0.110240602
64,52,56,24,31,Montgomery,Montgomery County,Maryland,MD,1017582.757,1277.027149,796.8372148,4473.57373,2428.302351,2500.209961,1668.662964,7.91894865,7.521565825,7.527441502,7.218666077,0.17406608,0.15579587
65,55,57,72,61,Guaynabo,Guaynabo Municipio,Puerto Rico,PR,96908.13195,71.444636,1356.408786,4371.542969,2378.076687,2475.803467,2006.824951,8.007974625,7.57075926,7.599492073,7.479530334,0.165419035,0.131520634
66,74,77,24,33,Prince George's,Prince George's County,Maryland,MD,899823.6586,1250.062233,719.8230895,4345.163086,2200.937924,2276.2146,1602.761963,7.862241745,7.371947014,7.38129282,7.128797531,0.18301333,0.156729976
67,62,65,48,113,Dallas,Dallas County,Texas,TX,2424877.461,2259.439988,1073.220565,4322.094727,2291.161003,2389.513672,1632.926514,7.959967136,7.539312963,7.568404198,7.27478981,0.132702658,0.098201116
68,98,68,16,65,Madison,Madison County,Idaho,ID,43937.63277,1215.39631,36.15086898,4320.430664,1953.388855,2359.785645,694.0661011,7.418963432,6.662150645,6.694237232,5.895357609,0.485219682,0.561694785
69,637,691,13,259,Stewart,Stewart County,Georgia,GA,6476.162978,1188.153055,5.450613413,4294.203125,789.8657565,792.0644531,61.91429138,6.540043354,5.259540161,4.953317642,3.320655107,0.677658122,0.702828486
70,32,30,34,3,Bergen,Bergen County,New Jersey,NJ,912183.2337,602.911111,1512.964709,4288.066406,2969.695518,3253.12085,4424.353027,7.983270645,7.741914891,7.811661243,7.903318882,0.11429108,0.105344044
71,65,66,72,113,Ponce,Ponce Municipio,Puerto Rico,PR,155790.9011,297.688621,523.3350896,4198.64502,2263.472814,2387.87915,1606.37207,7.950813293,7.395606366,7.395670414,7.059470177,0.244895319,0.257096425
72,43,43,48,479,Webb,Webb County,Texas,TX,282752.128,8706.186717,32.47714955,4108.236328,2597.87451,2711.074707,1938.421143,8.07656765,7.624206171,7.635634422,7.235629082,0.409059944,0.483026232
73,68,73,6,113,Yolo,Yolo County,California,CA,218190.1358,2628.144759,83.02059278,4106.257813,2256.907106,2311.431641,1091.045898,7.932528973,7.384450384,7.366913795,6.591941357,0.36709305,0.419437122
74,40,38,25,17,Middlesex,Middlesex County,Massachusetts,MA,1505886.683,2118.225748,710.9188833,4104.636719,2747.855772,2972.826172,2773.29834,7.736055851,7.36532031,7.404438496,7.327029705,0.167977294,0.176542028
75,147,142,4,21,Pinal,Pinal County,Arizona,AZ,548722.9923,13897.99715,39.48216324,4093.020508,1641.428493,1799.04895,712.7348633,7.608928204,6.903401469,6.86552763,5.990884781,0.378471246,0.390740936
76,58,48,34,23,Middlesex,Middlesex County,New Jersey,NJ,835835.3911,800.864377,1043.666587,4071.061035,2362.076175,2629.274902,1607.202148,7.894468307,7.478305357,7.5445261,7.204835892,0.144159738,0.122171488
77,37,35,55,79,Milwaukee,Milwaukee County,Wisconsin,WI,942562.5297,625.435232,1507.050581,4043.397705,2865.83983,3075.300293,2392.792236,8.00174427,7.722780207,7.787586212,7.558140755,0.107226918,0.099823277
78,48,50,6,111,Ventura,Ventura County,California,CA,851107.3798,4771.987962,178.3548883,4024.026367,2515.908894,2607.636719,1541.767212,7.956594467,7.517746574,7.526382923,6.983512402,0.277059934,0.312450077
79,875,1197,51,147,Prince Edward,Prince Edward County,Virginia,VA,25403.71647,906.395971,28.02717277,4006.635986,635.3285018,506.8033752,44.45737457,6.137724876,4.996081902,4.554798603,3.407264233,0.518793751,0.458327127
80,35,46,51,685,Manassas Park,Manassas Park city,Virginia,VA,14235.03004,6.538719,2177.036518,3978.277344,2928.483858,2668.445313,1056.928589,8.161629677,7.892894995,7.814536095,6.963122368,0.113337093,0.157913277
81,247,217,51,121,Montgomery,Montgomery County,Virginia,VA,98950.56836,1001.921573,98.76079229,3967.689453,1323.723926,1510.271606,629.7676392,7.16238308,6.370037917,6.258608818,5.715861797,0.381070291,0.375633226
82,39,39,44,7,Providence,Providence County,Rhode Island,RI,619461.5608,1060.563703,584.0870841,3964.729248,2774.010353,2930.246338,2161.186035,7.844315052,7.480195025,7.516901493,7.282353401,0.196187407,0.223639813
83,41,40,41,51,Multnomah,Multnomah County,Oregon,OR,768249.7047,1116.560269,688.0503687,3945.169434,2741.543795,2885.632568,2147.693359,8.022176743,7.744429745,7.784594536,7.527057171,0.178598332,0.196981026
84,49,61,72,139,Trujillo Alto,Trujillo Alto Municipio,Puerto Rico,PR,82218.94341,53.786137,1528.62704,3934.158936,2498.011013,2452.452393,1698.338013,7.890540123,7.587871948,7.547869205,7.258687019,0.157050585,0.123242887
85,72,72,51,59,Fairfax,Fairfax County,Virginia,VA,1132199.966,1012.703532,1117.997449,3897.675781,2202.821455,2323.05542,1663.621338,7.867743492,7.483272639,7.506236553,7.292435646,0.128839284,0.098000405
86,165,179,15,9,Maui,Maui County,Hawaii,HI,168518.449,3008.348847,56.01692411,3896.117432,1575.588875,1614.06189,759.6362915,7.758582592,6.866719892,6.786397934,5.964174747,0.393453571,0.416614985
87,36,32,36,59,Nassau,Nassau County,New York,NY,1336860.683,737.19589,1813.440228,3883.748779,2872.178942,3109.044678,2487.147705,8.034593582,7.812687037,7.888939857,7.722095966,0.081722271,0.069643409
88,1126,872,5,123,St. Francis,St. Francis County,Arkansas,AR,27392.38475,1644.019105,16.66184089,3880.101318,512.5855233,665.4545898,135.100708,6.58900547,5.332798707,5.185628414,4.313473701,0.53531173,0.462713449
89,64,83,49,49,Utah,Utah County,Utah,UT,604927.057,5190.511352,116.5447903,3856.462646,2267.977124,2207.003418,1338.700195,7.833483219,7.385970944,7.376226902,6.881843567,0.308819101,0.346991356
90,123,119,51,660,Harrisonburg,Harrisonburg city,Virginia,VA,53325.7801,44.908386,1187.434795,3844.894043,1796.06238,1940.229126,1350.781982,7.931945324,7.34237878,7.3964715,7.092140198,0.179643095,0.108762731
91,50,64,72,87,Loíza,Loíza Municipio,Puerto Rico,PR,28817.27305,50.147905,574.6456018,3841.155762,2458.416762,2390.368652,1296.868164,8.038315773,7.544161004,7.527080059,6.864952087,0.28324008,0.371271509
92,57,69,72,25,Caguas,Caguas Municipio,Puerto Rico,PR,140357.065,151.780149,924.7392753,3825.055176,2370.17145,2342.467529,1610.105469,7.90492487,7.453256844,7.40080595,7.155093193,0.17907421,0.187400354
93,47,44,29,510,St. Louis,St. Louis city,Missouri,MO,304863.392,159.915117,1906.407585,3821.856689,2542.589945,2710.69043,2047.707275,8.061279297,7.749085457,7.810853958,7.597651005,0.08942234,0.056745389
94,56,71,72,135,Toa Alta,Toa Alta Municipio,Puerto Rico,PR,78982.71013,69.972579,1128.766601,3805.639648,2372.475486,2326.559814,1189.685669,7.908178806,7.482533314,7.45335865,7.052036762,0.172074572,0.174856474
95,146,110,51,750,Radford,Radford city,Virginia,VA,16579.49492,25.061727,661.5463859,3805.465332,1647.709563,1982.905396,216.1067505,7.593148708,7.044390392,7.053719997,5.347641468,0.292823663,0.283286095
96,1510,1552,46,9,Bon Homme,Bon Homme County,South Dakota,SD,6862.706923,1459.586264,4.701816599,3774.697266,388.0975175,390.4483643,64.56430054,5.969225883,4.584959849,4.401958466,3.211976767,0.66437265,0.605731986
97,1030,2134,13,37,Calhoun,Calhoun County,Georgia,GA,7037.977645,726.191502,9.691627656,3763.470459,554.0006739,251.9723511,49.69330215,6.49194479,5.259840317,4.648363113,3.466869593,0.641565665,0.614149651
98,88,90,6,29,Kern,Kern County,California,CA,936042.5344,21062.54083,44.44110243,3756.808838,2077.930232,2152.39209,1222.901611,7.789091587,7.266253585,7.253011227,6.608078957,0.348594184,0.386224582
99,45,49,42,45,Delaware,Delaware County,Pennsylvania,PA,555459.8019,476.078165,1166.740764,3748.474365,2558.051471,2622.913086,1971.897217,7.87762785,7.563520167,7.572862625,7.356869698,0.130661457,0.127324822
100,59,47,53,33,King,King County,Washington,WA,2026636.064,5478.557088,369.9215015,3746.555664,2361.484817,2629.940674,1929.176147,7.832918644,7.449500597,7.545274734,7.291716576,0.20389339,0.215337647
101,1842,1911,54,21,Gilmer,Gilmer County,West Virginia,WV,9484.060371,876.717626,10.817691,3733.705811,305.7446063,294.2442627,42.21882629,5.519545555,4.200751029,3.94421792,3.051850557,0.6121201,0.493134013
102,54,52,6,67,Sacramento,Sacramento County,California,CA,1506551.498,2499.983887,602.6244831,3731.800537,2384.638571,2536.443359,1841.299316,7.95841074,7.615106894,7.660216808,7.349578857,0.171746879,0.175805424
103,898,1584,12,125,Union,Union County,Florida,FL,16479.66203,630.80454,26.12483105,3708.649658,620.6558592,381.209259,87.83743286,6.559221268,5.333283988,4.869321346,3.971840382,0.53710018,0.491374663
104,71,74,8,1,Adams,Adams County,Colorado,CO,503620.952,3020.716474,166.7223509,3705.979492,2231.046207,2306.622559,1542.871948,7.896688938,7.470887913,7.492399693,7.036738396,0.288629364,0.323700903
105,60,55,12,11,Broward,Broward County,Florida,FL,1797528.827,3115.289087,577.0022545,3702.910156,2348.040136,2510.166992,2031.598877,7.957176685,7.64037885,7.70213747,7.530649185,0.171991355,0.174474966
106,69,63,34,21,Mercer,Mercer County,New Jersey,NJ,369906.0751,581.297755,636.3452669,3692.782227,2253.370182,2419.280762,1399.447998,7.722824574,7.25137727,7.292223454,6.938518524,0.192141132,0.198647082
107,61,59,6,77,San Joaquin,San Joaquin County,California,CA,748583.02,3606.127799,207.5863812,3678.765381,2295.893013,2467.95752,1567.404541,7.828845024,7.393058821,7.429903984,6.934357643,0.262311525,0.293432872
108,499,314,47,95,Lake,Lake County,Tennessee,TN,7695.147233,429.381243,17.92147971,3673.87207,929.7862332,1238.841675,88.96553802,7.115572453,5.988404925,6.033293247,4.179396152,0.6025017,0.651390608
109,152,130,53,75,Whitman,Whitman County,Washington,WA,46446.60053,5592.461103,8.305216554,3667.89624,1618.298723,1869.075317,652.7567749,7.179628849,6.40150265,6.316925049,5.371003628,0.534150945,0.610979271
110,66,67,8,5,Arapahoe,Arapahoe County,Colorado,CO,604320.9662,2066.706152,292.4077841,3662.359863,2263.096438,2370.482422,1874.266968,7.907124519,7.561971289,7.582087994,7.358579636,0.241543317,0.268066188
111,790,1020,28,135,Tallahatchie,Tallahatchie County,Mississippi,MS,15399.04695,1671.120103,9.214805639,3654.765625,687.3677975,575.4770508,86.20050812,6.297418118,4.982254132,4.496978283,3.466094494,0.586477799,0.581042057
112,101,101,48,453,Travis,Travis County,Texas,TX,1139780.021,2569.870978,443.5164376,3635.066162,1942.968259,2045.015137,1354.987671,7.697333336,7.229251426,7.229588985,6.903776169,0.198076586,0.188144478
113,120,140,48,41,Brazos,Brazos County,Texas,TX,218057.9756,1518.090963,143.6395979,3610.438477,1805.524393,1816.057983,994.8416138,7.547429562,6.984859801,6.882060051,6.431165695,0.319298045,0.345559973
114,105,108,6,25,Imperial,Imperial County,California,CA,195728.7845,10814.59462,18.09857803,3589.716064,1923.642195,1993.685425,822.0993042,7.777130127,7.116306565,7.120103836,6.155437469,0.440507445,0.502348709
115,63,75,51,760,Richmond,Richmond city,Virginia,VA,196961.3562,155.199987,1269.08101,3573.912354,2274.770988,2303.124023,1511.303833,7.825268269,7.461805887,7.513486385,7.237447262,0.12731436,0.115682732
116,73,78,6,71,San Bernardino,San Bernardino County,California,CA,2185834.542,51975.57626,42.05503236,3557.5,2201.014911,2273.439209,1523.047241,7.779047489,7.365048008,7.381803036,6.956553459,0.32522542,0.364477981
117,155,117,18,157,Tippecanoe,Tippecanoe County,Indiana,IN,184410.8219,1292.163432,142.7147815,3557.001953,1608.735289,1945.984497,919.734375,7.434697151,6.803737954,6.801056862,6.346858501,0.32367576,0.338125456
118,111,126,6,31,Kings,Kings County,California,CA,163934.1421,3600.883803,45.52608501,3550.108154,1876.893313,1885.398438,805.3406372,7.713425159,7.095214985,7.08768034,6.188412666,0.397054498,0.454160147
119,182,306,66,10,Guam,Guam,Guam,GU,169884.9564,543.555844,312.5437033,3541.179443,1515.032539,1259.46875,735.5628052,7.794433117,7.039174779,6.759915352,6.358446598,0.267616106,0.250621577
120,75,51,51,540,Charlottesville,Charlottesville city,Virginia,VA,43685.83923,26.53357,1646.436542,3539.664307,2200.64737,2571.113525,1325.949341,7.862575531,7.540689805,7.620145798,7.1881423,0.131029602,0.088499679
121,79,81,6,65,Riverside,Riverside County,California,CA,2583896.137,18671.21266,138.3893047,3531.186523,2142.986835,2229.500732,1349.077148,7.806863308,7.365592396,7.370297432,6.89346981,0.257035365,0.278592581
122,78,76,6,13,Contra Costa,Contra Costa County,California,CA,1094230.677,1857.229826,589.173543,3530.395508,2184.675735,2299.537109,1523.209839,7.856543064,7.475593911,7.497470379,7.11238575,0.174047374,0.174110474
123,85,85,6,19,Fresno,Fresno County,California,CA,992448.0209,15432.1393,64.31046284,3516.798096,2089.850966,2194.393311,1491.676514,7.719050884,7.241132423,7.244147778,6.814949512,0.322155469,0.360955078
124,104,118,48,121,Denton,Denton County,Texas,TX,798902.8208,2278.094573,350.6890496,3498.583496,1927.070555,1944.823486,1204.539795,7.687097073,7.200992068,7.202833176,6.776457787,0.217477157,0.220390051
125,84,93,51,107,Loudoun,Loudoun County,Virginia,VA,416166.7405,1335.826412,311.5425304,3493.118164,2093.107382,2147.431885,1139.590698,7.756950855,7.260461078,7.199151039,6.621080399,0.241674858,0.264664212
126,221,170,19,169,Story,Story County,Iowa,IA,93536.64966,1482.88124,63.07764043,3485.369873,1384.240031,1646.086548,660.7442017,7.370352268,6.646863419,6.679214954,5.88757515,0.397971072,0.422986746
127,166,148,20,161,Riley,Riley County,Kansas,KS,76139.55796,1579.116617,48.21655167,3482.974609,1574.497971,1778.319702,778.7640991,7.505558014,6.844304738,6.877049923,6.092559814,0.424028306,0.473342682
128,596,737,39,141,Ross,Ross County,Ohio,OH,80336.48807,1784.986619,45.00677328,3466.574951,821.313179,755.585022,203.9658203,6.659646988,5.532540551,5.206039906,4.580218315,0.42427978,0.387875923
