rank_GHS_250m,rank_GHS_1km,rank_GPW_30as,fips_state,fips_county,county,countylong,state,stateabb,pop,landarea,popdens,pwpd_GHS_250m,pwpd_GHS_1km,pwpd_GPW_30as,pwpd_GPW_2.5as,pwlogpd_GHS_250m,pwlogpd_GHS_1km,pwlogpd_GPW_30as,pwlogpd_GPW_2.5as,gamma_GHS_250m,gamma_GHS_1km
326,1328,1472,13,93,Dooly,Dooly County,Georgia,GA,16885.84317,1016.908653,16.60507374,2357.117432,439.740347,413.5065918,94.43004608,6.214672565,4.992413272,4.673827648,3.836091518,0.511347972,0.47316997
327,388,400,29,19,Boone,Boone County,Missouri,MO,176348.0326,1775.568659,99.31918527,2355.485596,1051.593518,1104.735352,626.5943604,7.115352631,6.408566478,6.311457157,5.882912636,0.308726497,0.31539191
328,170,182,21,111,Jefferson,Jefferson County,Kentucky,KY,760121.5359,986.032282,770.8890974,2353.237061,1554.30614,1604.822632,1170.352051,7.491825581,7.161929913,7.180599213,6.93862915,0.115674131,0.101722022
329,358,299,16,57,Latah,Latah County,Idaho,ID,37923.8343,2786.483015,13.60992839,2352.296631,1111.789595,1273.265259,572.6922607,6.962652683,6.13091826,5.974190712,5.312482357,0.480958262,0.555046578
330,197,199,18,97,Marion,Marion County,Indiana,IN,904211.7655,1027.109536,880.345994,2348.745361,1463.234803,1552.348511,1139.102051,7.468085766,7.126869511,7.172605991,6.942537785,0.099647136,0.073269824
331,455,452,29,1,Adair,Adair County,Missouri,MO,25663.99846,1469.362058,17.46608218,2348.318359,985.246255,1043.596558,301.8405457,6.366105556,5.67043043,5.481893063,4.758015633,0.486940415,0.552976968
332,192,205,36,67,Onondaga,Onondaga County,New York,NY,466057.5353,2016.013104,231.1778304,2342.731934,1473.210992,1541.106323,1028.200806,7.252191544,6.774004475,6.753024101,6.403637409,0.222962464,0.243401539
333,236,260,37,119,Mecklenburg,Mecklenburg County,North Carolina,NC,1045775.823,1356.068834,771.1819615,2342.595947,1351.277971,1369.930176,1039.471313,7.45085144,7.03507048,7.046549797,6.832223415,0.111171962,0.077766898
334,239,270,48,375,Potter,Potter County,Texas,TX,129237.8276,2352.718727,54.93126998,2335.449219,1343.269169,1340.91333,980.5751953,7.375175476,6.879880292,6.824006081,6.535576344,0.361366515,0.411779498
335,244,239,8,69,Larimer,Larimer County,Colorado,CO,323526.9134,6723.025059,48.12222334,2326.735352,1328.041669,1413.632202,939.0693359,7.244788647,6.715830679,6.729377747,6.308942318,0.334699148,0.376444585
336,290,289,27,13,Blue Earth,Blue Earth County,Minnesota,MN,68449.00038,1936.751358,35.3421724,2324.6875,1231.113047,1298.774048,647.6297607,6.917882442,6.23537537,6.198743343,5.511054516,0.405747164,0.469111664
337,205,229,40,109,Oklahoma,Oklahoma County,Oklahoma,OK,751182.5411,1835.932121,409.1559446,2323.382568,1435.538281,1459.408447,1007.817993,7.367596149,6.980836974,6.983005524,6.675733566,0.170109317,0.167018952
338,661,524,24,1,Allegany,Allegany County,Maryland,MD,74107.45059,1093.462025,67.7732275,2322.606201,775.3096857,938.3013306,218.5066681,6.878530979,6.041505948,5.963680744,4.94356823,0.36091509,0.348300563
339,380,421,37,135,Orange,Orange County,North Carolina,NC,143362.1043,1029.672897,139.2307253,2311.105713,1063.584873,1074.71521,662.5401001,7.046786785,6.283296242,6.130940914,5.86623764,0.289863703,0.293104948
340,156,160,26,99,Macomb,Macomb County,Michigan,MI,867180.7405,1241.050552,698.7473146,2299.918457,1606.342632,1695.947632,1337.279053,7.517100334,7.208573024,7.251015663,7.055438995,0.121200571,0.116852823
341,450,393,4,5,Coconino,Coconino County,Arizona,AZ,143087.2497,48217.24613,2.967553338,2299.719971,987.4870573,1121.108154,377.1939087,6.82393074,6.001730241,5.889979362,4.930847645,0.490791972,0.538548767
342,365,427,48,485,Wichita,Wichita County,Texas,TX,130366.2045,1625.459969,80.20265461,2298.52417,1087.102684,1068.176514,599.729187,7.181047916,6.604642222,6.575392246,5.991111279,0.330286609,0.352566237
343,267,277,12,31,Duval,Duval County,Florida,FL,904599.7068,1975.200913,457.9785787,2296.558594,1274.98131,1326.227173,986.0834961,7.383506775,6.95014186,6.970822334,6.735141277,0.155986089,0.134924485
