,name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
0,Zimbabwe,ZWE,390760.0,15547215.608083226,8598.310174871987,8.068664926702699,39.787121527493156,0.41750860532175027
1,Zambia,ZMB,752610.0,16201202.191931363,10808.205745147008,8.48958799068986,21.526690041231664,0.45958379682358547
2,Yemen,YEM,527970.0,26347438.857512668,27412.75825410675,9.060594578335794,49.90328779573208,0.4787717383882108
3,Vietnam,VNM,331230.0,90632653.5662247,7057.028910057476,8.026568325363185,273.62453149239104,0.255694512878774
4,Venezuela,VEN,912050.0,29764192.955225468,8672.514887206868,8.540091450694076,32.63438732002135,0.4067889269657325
5,Vatican,VAT,0.0,0.0,0.0,0.0,0.0,0.0
6,Vanuatu,VUT,12190.0,183864.4987367522,1432.8195562483531,5.477184384029568,15.083223850430862,0.4840175062216172
7,Uzbekistan,UZB,447400.0,30029947.958914906,4894.132380098828,7.576691632954592,67.12102807088714,0.32966153534811987
8,Uruguay,URY,176220.0,3323524.5220065555,4885.941904457093,7.909255181453608,18.860086948170217,0.46004178713233546
9,Federated States of Micronesia,FSM,700.0,43906.94178771973,593.1147525795454,5.620631308965884,62.72420255388533,0.342941987964246
10,Marshall Islands,MHL,180.0,3127.0878599882126,1929.3266629883751,7.300262907353213,17.372710333267847,0.9070026718114202
11,United States of America,MNP,460.0,50753.77251574397,1360.721692320058,6.927913490973456,110.33428807770429,0.4097476676917939
12,United States of America,VIR,350.0,75937.07919145375,903.3816623261475,6.505925183158666,216.9630834041536,0.24350190935626742
13,United States of America,GUM,540.0,157806.36548114195,1587.822182634586,7.114750798704384,292.23401015026286,0.2690209288625881
14,United States of America,ASM,200.0,45092.014243125916,1253.035027785111,6.9070678692014,225.46007121562957,0.3237217998653221
15,United States of America,PRI,8870.0,3618268.0199590605,1893.5172682161542,7.052738631954894,407.92198646663593,0.16887159439507912
16,United States of America,USA,9831510.0,316840337.75384194,1973.3978959306712,6.694345060306173,32.22702695250698,0.2555543359930295
17,United Kingdom,SGS,0.0,0.0,0.0,0.0,0.0,0.0
18,United Kingdom,IOT,0.0,0.0,0.0,0.0,0.0,0.0
19,United Kingdom,SHN,0.0,0.0,0.0,0.0,0.0,0.0
20,United Kingdom,PCN,0.0,0.0,0.0,0.0,0.0,0.0
21,United Kingdom,AIA,0.0,0.0,0.0,0.0,0.0,0.0
22,United Kingdom,FLK,0.0,0.0,0.0,0.0,0.0,0.0
23,United Kingdom,CYM,263.999996185303,38656.43888326734,1080.0552500580557,6.731702628604888,146.42590697665835,0.3583691132020928
24,United Kingdom,BMU,4290.0,38215.000732302666,1397.8277475890318,7.016788757077802,8.90792557862533,0.6044605347059095
25,United Kingdom,VGB,150.0,20397.34179701656,1073.821705447256,6.594108959798633,135.98227864677708,0.41241370744321953
26,United Kingdom,TCA,950.0,22234.70007789135,904.1431584424884,6.499565621775476,23.404947450411946,0.5329337911670801
27,United Kingdom,MSR,0.0,0.0,0.0,0.0,0.0,0.0
28,United Kingdom,JEY,0.0,0.0,0.0,0.0,0.0,0.0
29,United Kingdom,GGY,0.0,0.0,0.0,0.0,0.0,0.0
30,United Kingdom,IMN,570.0,81217.23705238104,1777.663406417638,6.880807897712472,142.48638079365094,0.39772349417027797
31,United Kingdom,GBR,243610.0,62550254.37099625,3777.696261290548,7.708146168928406,256.7639028405905,0.21677355850361502
32,United Arab Emirates,ARE,83600.0,8039329.734973503,6819.961186872234,8.370705582431027,96.16423127958736,0.37600381504788394
33,Ukraine,UKR,603550.0,42258446.45594984,2960.8007869589205,7.103409723189901,70.01647992038744,0.28131630876263025
34,Uganda,UGA,241550.0,39240414.480801344,9734.486069101311,8.506226915303504,162.4525542570952,0.3302218388240271
35,Turkmenistan,TKM,488100.0,5493105.534797852,4380.375233587091,7.505689466421589,11.254057641462511,0.4553393986350606
36,Turkey,TUR,785350.0,75309036.96594414,10235.071996813691,8.279754090669064,95.89232439796797,0.34406875222780486
37,Tunisia,TUN,163610.0,10273579.339221587,5628.517612192039,8.048526985007804,62.793101517154135,0.37448279722835126
38,Trinidad and Tobago,TTO,5130.0,1283282.284012802,2129.773194028553,7.285480852701262,250.15249201029278,0.2507005658772569
39,Tonga,TON,750.0,81425.99524982274,1928.3047399433349,7.139143789411275,108.56799366643031,0.43459034161996013
40,Togo,TGO,56790.0,7259244.783645391,10251.926689585609,8.567684285135556,127.82610994269047,0.40052104129394467
41,East Timor,TLS,14870.0,1110275.3148684427,3499.0882872776588,6.879839487010463,74.66545493399077,0.40045797102608277
42,Thailand,THA,513120.0,67105942.0509998,3365.5995199689646,7.223844250158983,130.7802113560177,0.24701686859139108
43,United Republic of Tanzania,TZA,947300.0,53009929.95760797,8382.452992699114,8.115517556876117,55.9589675473535,0.36401003432149354
44,Tajikistan,TJK,141380.0,8494569.337395899,4190.18876249135,7.662387845852936,60.0832461267216,0.3579303554593758
45,Taiwan,TWN,36193.0,22776887.309459887,11099.77036499607,8.63275842209344,629.3174732533885,0.27342549954691175
46,Syria,SYR,185180.0,18141544.42971565,5853.799853864784,7.895209833047884,97.96708299878847,0.3372237240743033
47,Switzerland,CHE,41290.400390625,8284407.27068821,2456.600125261444,7.207199077269693,200.63761049333849,0.23569274049596067
48,Sweden,SWE,447430.0,8978301.438695375,1877.8036487635366,6.600795723246185,20.066382313871163,0.3488368415294127
49,eSwatini,SWZ,17360.0,1271258.3135328554,2056.075094613848,6.934440618156079,73.22916552608613,0.34162941411863346
