name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Seychelles,SYC,460.0,0.0,0.0,0.0,0.0,0.0
Republic of Serbia,SRB,88360.0,7594131.0,129.61843872070312,4.607174873352051,85.9453485740154,0.0
Senegal,SEN,196710.0,9255265.0,129.16915893554688,4.441709518432617,47.05030247572569,0.0
Saudi Arabia,SAU,2149690.0,29466798.0,114.29096221923828,3.887078046798706,13.707463866883131,0.0
São Tomé and Principe,STP,960.0,0.0,0.0,0.0,0.0,0.0
San Marino,SMR,60.0,0.0,0.0,0.0,0.0,0.0
Samoa,WSM,2840.0,54605.375,30.533639907836914,3.4188289642333984,19.22724471830986,0.0
Saint Vincent and the Grenadines,VCT,390.0,0.0,0.0,0.0,0.0,0.0
Saint Lucia,LCA,620.0,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,KNA,260.0,0.0,0.0,0.0,0.0,0.0
Rwanda,RWA,26340.0,14725072.0,431.86016845703125,6.059193134307861,559.0384206529992,0.0
Russia,RUS,17098250.0,143744896.0,312.8449401855469,4.217835903167725,8.406994633953767,0.0
Romania,ROU,238400.0,17879168.0,131.48565673828125,4.618832588195801,74.99651006711409,0.0
Qatar,QAT,11610.0,0.0,0.0,0.0,0.0,0.0
Portugal,PRT,92225.595703125,7281150.5,203.27099609375,4.858357906341553,78.94934637709565,0.0
Poland,POL,312680.0,37238540.0,163.06422424316406,4.960012912750244,119.09472943584495,0.0
Philippines,PHL,300000.0,70875904.0,1032.3524169921875,6.4468793869018555,236.25301333333334,0.0
Peru,PER,1285220.0,23651858.0,99.50530242919922,3.887576103210449,18.402964473008513,0.0
Paraguay,PRY,406751.9921875,5756896.0,144.6571044921875,4.284905910491943,14.153332031736554,0.0
Papua New Guinea,PNG,462840.0,6393034.0,33.48423385620117,3.2790021896362305,13.812622072422435,0.0
Panama,PAN,75420.0,3215655.5,143.66799926757812,4.555030345916748,42.63664147440997,0.0
Palau,PLW,460.0,0.0,0.0,0.0,0.0,0.0
Pakistan,PAK,796100.0,187632288.0,622.3438110351562,6.136264801025391,235.68934555960305,0.0
Oman,OMN,309500.0,4789293.0,98.92288970947266,3.952009677886963,15.474290791599353,0.0
Norway,NOR,625217.109375,3120049.5,40.860939025878906,3.2358522415161133,4.990345678669872,0.0
North Korea,PRK,120540.0,21539576.0,356.9967041015625,5.606513500213623,178.69235108677617,0.0
Nigeria,NGA,923770.0,158630592.0,312.7071838378906,5.485029697418213,171.72087424358878,0.0
Niger,NER,1267000.0,21072724.0,96.34754943847656,4.215074062347412,16.631984214680347,0.0
Nicaragua,NIC,130370.0,5309165.0,107.59148406982422,4.358909606933594,40.72382449950142,0.0
New Zealand,NZL,267710.0,3490917.5,108.34709930419922,3.9529247283935547,13.039921930447125,0.0
New Zealand,NIU,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,COK,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands,NLD,41540.0,13040261.0,522.78173828125,6.213281154632568,313.92058257101587,0.0
Netherlands,ABW,180.0,0.0,0.0,0.0,0.0,0.0
Netherlands,CUW,444.0,0.0,0.0,0.0,0.0,0.0
Nepal,NPL,147180.0,35433736.0,485.2981262207031,5.962691307067871,240.7510259546134,0.0
Nauru,NRU,20.0,0.0,0.0,0.0,0.0,0.0
Namibia,NAM,824290.0,2574462.0,21.94442367553711,2.4100584983825684,3.123247886059518,0.0
Mozambique,MOZ,799380.0,28834460.0,91.46942901611328,4.143664360046387,36.071030048287426,0.0
Morocco,MAR,446550.0,31506004.0,275.5425109863281,5.153898239135742,70.55425820176912,0.0
Western Sahara,SAH,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,MNE,13810.0,774077.0625,57.60649871826172,4.04765510559082,56.051923425054305,0.0
Mongolia,MNG,1564120.0,3065153.5,30.07340431213379,2.27363657951355,1.959666457816536,0.0
Moldova,MDA,33850.0,3832535.5,118.2928237915039,4.7562150955200195,113.22113737075333,0.0
Monaco,MCO,2.0,0.0,0.0,0.0,0.0,0.0
Mexico,MEX,1964380.0,119155184.0,490.01806640625,5.336554050445557,60.65790936580499,0.0
Mauritius,MUS,2040.0,1224154.75,656.1943359375,6.486456871032715,600.0758578431372,0.0
