hr_uid,region,area,province,province_abb,pop,pwpd,pwlogpd,popdens,gamma
4800,Entire Province,660764.8552684694,Alberta,AB,4054769.5,3675.169677734375,7.574177265167236,6.136478760439738,0.39540035325063294
4831,South Zone,65784.82564565688,Alberta,AB,297181.5,2182.48779296875,7.012965202331543,4.517477960658241,0.4456901670452368
4832,Calgary Zone,39403.134537064,Alberta,AB,1531029.375,4526.8701171875,8.028070449829102,38.85552235850321,0.35628785094600485
4833,Central Zone,95308.19686131369,Alberta,AB,469240.96875,1777.1810302734375,6.427529335021973,4.9234062148170645,0.41361192643129724
4834,Edmonton Zone,11569.971799788458,Alberta,AB,1297844.25,4164.2548828125,7.9514570236206055,112.1735015831006,0.2979897764109515
4835,North Zone,448698.7264246465,Alberta,AB,459471.65625,2359.4951171875,6.530085563659668,1.024009272126077,0.4904431873670379
500,Entire Province,945412.791125865,BC,BC,4658123.0,5079.8759765625,7.8766584396362305,4.927078461095047,0.4196897025466692
591,Fraser Health,15661.342738604151,BC,BC,1742492.25,5444.80859375,8.173181533813477,111.26071876997331,0.312957353548859
592,Interior Health,217224.36257275046,BC,BC,756262.6875,1983.3179931640625,6.953207492828369,3.4814819044374943,0.4212836233065783
593,Vancouver Island Health,55537.71368086693,BC,BC,725143.75,2637.908203125,7.370908737182617,13.056780734022478,0.3875502864318838
594,Northern Health,605913.751425936,BC,BC,279654.5625,1552.5911865234375,6.5992255210876465,0.4615418644021048,0.5048064813346598
595,Vancouver  Coastal Health,51075.62070770743,BC,BC,1154569.5,8945.4892578125,8.661080360412598,22.60509973255739,0.4393185154738281
4600,Entire Province,610647.4126783111,Manitoba,MB,1284941.625,3336.733154296875,7.316765785217285,2.104228394851002,0.4578353986290409
4601,Winnipeg Regional Health Authority,654.4386168621107,Manitoba,MB,720808.0,4815.6396484375,8.197225570678711,1101.41422194203,0.15937933124359424
4602,Prairie Mountain Health,68711.83601133293,Manitoba,MB,169258.046875,1423.90966796875,6.019527912139893,2.4633026375118776,0.457191764765437
4603,Interlake-Eastern Regional Health Authority,77809.76602525965,Manitoba,MB,126953.78125,1085.158203125,5.752292633056641,1.631591864815357,0.46313537668838184
4604,Northern Regional Health Authority,435966.0812112759,Manitoba,MB,72554.53125,2694.242431640625,7.202426910400391,0.16642242224077738,0.6150624887328391
4605,Southern HealthSante Sud,27505.29081358056,Manitoba,MB,195367.375,1239.2198486328125,6.2512593269348145,7.102901631694024,0.3972177067920178
1300,Entire Province,72654.14434256437,New Brunswick,NB,744370.25,1358.007080078125,6.567104816436768,10.24539283664664,0.3499159784174223
1301,Zone 1 (Moncton area),10155.43068147143,New Brunswick,NB,213907.859375,1829.7874755859375,6.9230852127075195,21.063396135948683,0.3720859566359412
1302,Zone 2 (Saint John area),10507.132423967141,New Brunswick,NB,153141.5625,1271.4158935546875,6.492617607116699,14.57501022359618,0.37137881649405313
1303,Zone 3 (Fredericton area),23869.819533059792,New Brunswick,NB,185365.59375,1370.0015869140625,6.539525508880615,7.7656889484760425,0.4024638958058612
1304,Zone 4 (Edmundston area),7799.697860208093,New Brunswick,NB,46091.69140625,879.6287231445312,6.225657939910889,5.909420112463215,0.42634816755636956
1305,Zone 5 (Campbellton area),5510.119693930104,New Brunswick,NB,25487.919921875,1017.479736328125,6.259345531463623,4.625656308328883,0.4736540651631018
1306,Zone 6 (Bathurst area),4790.515814689167,New Brunswick,NB,76024.4140625,865.8479614257812,6.328418731689453,15.869776241920798,0.35558811041148736
1307,Zone 7 (Miramichi area),10021.42833523864,New Brunswick,NB,44351.19921875,867.9269409179688,6.163507461547852,4.425636519576416,0.440439113459733
1000,Entire Province,401136.28304551606,NL,NL,479224.78125,1863.455810546875,6.9951558113098145,1.1946682499314663,0.4690581154869152
1011,Eastern Regional Health Authority,21168.348177535732,NL,NL,297302.09375,2116.37353515625,7.137021064758301,14.044652480985873,0.39388017025276356
1012,Central Regional Health Authority,46948.8507637531,NL,NL,81279.3828125,1357.359375,6.723444938659668,1.7312326391437853,0.49259105402426956
1013,Western Regional Health Authority,34279.6423427959,NL,NL,70931.9921875,1547.268798828125,6.857755661010742,2.0692162268842003,0.5007286213801263
1014,Labrador-Grenfell Regional Health Authority,298739.44176143134,NL,NL,29711.30078125,1472.0257568359375,6.6469268798828125,0.09945556772171042,0.6243492752732059
1200,Entire Province,55233.375203833144,Nova Scotia,NS,884510.75,2129.29443359375,6.879389762878418,16.014062996074443,0.35715092442605517
1201,Zone 1 - Western,18885.92268696878,Nova Scotia,NS,182618.9375,855.969482421875,6.133539199829102,9.669579851981837,0.3552844959811011
1202,Zone 2 - Northern,12433.844346913567,Nova Scotia,NS,146763.28125,1020.1446533203125,6.2950825691223145,11.803532130143708,0.36549350224973204
1203,Zone 3 - Eastern,16520.530862371965,Nova Scotia,NS,136855.609375,1155.3612060546875,6.410029888153076,8.28397165412581,0.39550392086238273
1204,Zone 4 - Central,7393.077307578835,Nova Scotia,NS,418272.9375,3393.072265625,7.563621520996094,56.57629700033267,0.3504785520698929
6101,Northwest Territories,1292573.6570960705,NWT,NT,41342.90234375,2596.2490234375,7.11660623550415,0.03198494887837343,0.6710888113568702
6201,Nunavut,2078563.1764127703,Nunavut,NU,25998.5390625,2591.56982421875,7.030745506286621,0.01250793786666078,0.7067880614959704
3500,Entire Province,983902.1863535735,Ontario,ON,13554115.0,5713.439453125,7.9444260597229,13.775876492593966,0.36372825947265075
3526,The District of Algoma Health Unit,44445.71985139626,Ontario,ON,103626.203125,1775.8031005859375,6.977982521057129,2.3315226634077026,0.49244357418409324
