hr_uid,region,area,province,province_abb,pop,pwpd,pwlogpd,popdens,gamma
4800,Entire Province,660764.8552684694,Alberta,AB,4053332.0,2416.19873046875,6.888769149780273,6.134303251272538,0.44593582396038756
4831,South Zone,65784.82564565688,Alberta,AB,297077.4375,1308.3145751953125,6.026403903961182,4.515896098899414,0.5109804949868326
4832,Calgary Zone,39403.134537064,Alberta,AB,1530956.75,3086.74462890625,7.576547622680664,38.85367923102481,0.4134600637832371
4833,Central Zone,95308.19686131369,Alberta,AB,467951.875,1045.3701171875,5.2944746017456055,4.909880686137974,0.4675915512927513
4834,Edmonton Zone,11569.971799788458,Alberta,AB,1298035.625,2824.9609375,7.49212646484375,112.19004224571515,0.34480522268730784
4835,North Zone,448698.7264246465,Alberta,AB,459310.3125,1139.1673583984375,5.073227405548096,1.023649690650806,0.539005764408999
500,Entire Province,945412.791125865,BC,BC,4649278.5,3526.844482421875,7.330328941345215,4.917723288324995,0.4778786778569163
591,Fraser Health,15661.342738604151,BC,BC,1746740.375,3551.68603515625,7.807097911834717,111.5319678621427,0.3583066547606272
592,Interior Health,217224.36257275046,BC,BC,756109.625,1071.4952392578125,5.889741897583008,3.480777275830522,0.46624633574549657
593,Vancouver Island Health,55537.71368086693,BC,BC,719952.5625,1791.4677734375,6.828894138336182,12.963309340334401,0.4511441326797064
594,Northern Health,605913.751425936,BC,BC,280281.34375,795.9204711914062,5.23685359954834,0.46257630411984507,0.5595739125737578
595,Vancouver  Coastal Health,51075.62070770743,BC,BC,1146194.5,6866.537109375,8.38095760345459,22.441127178059663,0.527948260364822
4600,Entire Province,610647.4126783111,Manitoba,MB,1285753.875,2163.667236328125,6.485379695892334,2.1055585405015624,0.5205551553984498
4601,Winnipeg Regional Health Authority,654.4386168621107,Manitoba,MB,719967.375,3373.4560546875,7.9226765632629395,1100.1297240864014,0.17281747136541395
4602,Prairie Mountain Health,68711.83601133293,Manitoba,MB,168887.0,860.7921752929688,4.750112056732178,2.457902594425577,0.5260113739063921
4603,Interlake-Eastern Regional Health Authority,77809.76602525965,Manitoba,MB,127898.3359375,327.6832275390625,4.001949310302734,1.6437311467557931,0.47017122195574995
4604,Northern Regional Health Authority,435966.0812112759,Manitoba,MB,72577.6640625,756.9995727539062,5.419147491455078,0.16647548327808498,0.6485993406561963
4605,Southern HealthSante Sud,27505.29081358056,Manitoba,MB,196423.453125,564.7853393554688,4.720155715942383,7.141297085578066,0.42755764402791635
1300,Entire Province,72654.14434256437,New Brunswick,NB,744862.625,641.0410766601562,5.085312366485596,10.252169807244194,0.3694659448723571
1301,Zone 1 (Moncton area),10155.43068147143,New Brunswick,NB,213035.484375,1024.2197265625,5.738414287567139,20.97749382147652,0.42145412673345556
1302,Zone 2 (Saint John area),10507.132423967141,New Brunswick,NB,154817.8125,611.5354614257812,5.21967077255249,14.734544712395085,0.4023601603634821
1303,Zone 3 (Fredericton area),23869.819533059792,New Brunswick,NB,185380.859375,567.525390625,4.835583686828613,7.766328485150329,0.4257272411279465
1304,Zone 4 (Edmundston area),7799.697860208093,New Brunswick,NB,45702.82421875,345.3996276855469,4.5969438552856445,5.859563413592365,0.4548872798685037
1305,Zone 5 (Campbellton area),5510.119693930104,New Brunswick,NB,25607.203125,509.38909912109375,4.852084636688232,4.647304332283135,0.5452447628215493
1306,Zone 6 (Bathurst area),4790.515814689167,New Brunswick,NB,75882.125,270.66259765625,4.560302257537842,15.840073999405764,0.33493016094180716
1307,Zone 7 (Miramichi area),10021.42833523864,New Brunswick,NB,44436.3515625,225.92538452148438,4.0611701011657715,4.434133546237832,0.42668988377545886
1000,Entire Province,401136.28304551606,NL,NL,479091.90625,1033.4149169921875,5.827322483062744,1.1943370034059932,0.5241825604382236
1011,Eastern Regional Health Authority,21168.348177535732,NL,NL,297436.9375,1290.9385986328125,6.181154251098633,14.051022545804775,0.453846466502172
1012,Central Regional Health Authority,46948.8507637531,NL,NL,81496.9296875,565.7947387695312,5.039144992828369,1.7358663388288893,0.5379590035283937
1013,Western Regional Health Authority,34279.6423427959,NL,NL,69963.8515625,643.2662963867188,5.378627777099609,2.040973790299868,0.550944530224982
1014,Labrador-Grenfell Regional Health Authority,298739.44176143134,NL,NL,30194.171875,662.777587890625,5.508848190307617,0.10107192976250051,0.6970837092315534
1200,Entire Province,55233.375203833144,Nova Scotia,NS,885908.375,1223.00830078125,5.599409103393555,16.039366990169356,0.39691314774764835
1201,Zone 1 - Western,18885.92268696878,Nova Scotia,NS,184446.3125,249.69215393066406,4.216644763946533,9.76633842874234,0.3291926256840943
1202,Zone 2 - Northern,12433.844346913567,Nova Scotia,NS,147269.265625,440.0894775390625,4.61704683303833,11.844226251839514,0.38343969213781287
1203,Zone 3 - Eastern,16520.530862371965,Nova Scotia,NS,138335.21875,567.6257934570312,4.888219833374023,8.373533508240925,0.43412589821416087
1204,Zone 4 - Central,7393.077307578835,Nova Scotia,NS,415857.59375,2149.976806640625,6.797175884246826,56.24959356554998,0.40899093897138233
6101,Northwest Territories,1292573.6570960705,NWT,NT,41560.265625,1312.5341796875,6.247133731842041,0.032153112046527675,0.7544663968472752
6201,Nunavut,2078563.1764127703,Nunavut,NU,26240.623046875,1007.270263671875,5.943964958190918,0.012624404850740038,0.7758972641912886
3500,Entire Province,983902.1863535735,Ontario,ON,13552260.0,3630.68798828125,7.392815589904785,13.773991142580796,0.4039627472664886
3526,The District of Algoma Health Unit,44445.71985139626,Ontario,ON,101359.6171875,1143.891357421875,6.042343616485596,2.2805259432493092,0.5809914991147531
