,name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
0,Zimbabwe,ZWE,390760.0,15497309.0,815.4426879882812,4.807151794433594,39.6594047497185,0.23481193228546085
1,Zambia,ZMB,752610.0,16169307.0,1055.657470703125,4.403168678283691,21.48431059911508,0.2878212143825971
2,Yemen,YEM,527970.0,26458152.0,2210.92919921875,5.901622295379639,50.11298369225524,0.287390674602072
3,Vietnam,VNM,331230.0,90675528.0,3876.43310546875,6.683965682983398,273.75397156054703,0.20852259868927087
4,Venezuela,VEN,912050.0,30713858.0,1225.0782470703125,5.654940605163574,33.675629625568774,0.26188646211977945
5,Vatican,VAT,0.0,0.0,0.0,0.0,0.0,0.0
6,Vanuatu,VUT,12190.0,198475.6875,1067.665771484375,4.811304092407227,16.281844749794914,0.4446231040590686
7,Uzbekistan,UZB,447400.0,29405218.0,1205.80810546875,5.354953765869141,65.72467143495753,0.2236095934801863
8,Uruguay,URY,176220.0,3250221.75,4614.32177734375,7.658188343048096,18.44411389172625,0.4571530391950409
9,Federated States of Micronesia,FSM,700.0,44275.5,603.1904907226562,5.412233352661133,63.25071428571429,0.34423737579852476
10,Marshall Islands,MHL,180.0,616.9223022460938,1206.9072265625,6.927009582519531,3.42734612358941,1.1292276334707458
11,United States of America,MNP,460.0,50557.796875,1135.721435546875,6.645476818084717,109.90825407608696,0.3808988711339401
12,United States of America,VIR,350.0,75334.4140625,660.13671875,6.134160995483398,215.24118303571427,0.19131111415875168
13,United States of America,GUM,540.0,159027.71875,1328.73486328125,6.858748435974121,294.49577546296297,0.23948208380000452
14,United States of America,ASM,200.0,43216.9921875,728.7979125976562,6.377571105957031,216.0849609375,0.2294548589033252
15,United States of America,PRI,8870.0,3617460.5,1949.90380859375,7.009117603302002,407.83094701240134,0.1721241505023134
16,United States of America,USA,9831510.0,316935424.0,2095.2314453125,6.641583442687988,32.2366985335925,0.259256394999618
17,United Kingdom,SGS,0.0,0.0,0.0,0.0,0.0,0.0
18,United Kingdom,IOT,0.0,0.0,0.0,0.0,0.0,0.0
19,United Kingdom,SHN,0.0,0.0,0.0,0.0,0.0,0.0
20,United Kingdom,PCN,0.0,0.0,0.0,0.0,0.0,0.0
21,United Kingdom,AIA,0.0,0.0,0.0,0.0,0.0,0.0
22,United Kingdom,FLK,0.0,0.0,0.0,0.0,0.0,0.0
23,United Kingdom,CYM,263.999996185303,38439.3828125,879.8217163085938,6.571249008178711,145.60372487853823,0.32260528310352216
24,United Kingdom,BMU,4290.0,37300.08984375,1125.8050537109375,6.991809844970703,8.694659637237763,0.5814825763592898
25,United Kingdom,VGB,150.0,17848.47265625,348.0360412597656,5.793020725250244,118.98981770833333,0.21419798132580203
26,United Kingdom,TCA,950.0,21537.814453125,594.97119140625,6.027870178222656,22.67138363486842,0.4765445501151317
27,United Kingdom,MSR,0.0,0.0,0.0,0.0,0.0,0.0
28,United Kingdom,JEY,0.0,0.0,0.0,0.0,0.0,0.0
29,United Kingdom,GGY,0.0,0.0,0.0,0.0,0.0,0.0
30,United Kingdom,IMN,570.0,80882.171875,1268.6640625,6.318754196166992,141.8985471491228,0.34521473624956833
31,United Kingdom,GBR,243610.0,62596456.0,3976.158935546875,7.660858631134033,256.9535569147408,0.2208421150697203
32,United Arab Emirates,ARE,83600.0,8595260.0,588.4166259765625,5.767158031463623,102.81411483253588,0.15392125719537741
33,Ukraine,UKR,603550.0,42354132.0,1550.8580322265625,5.858290672302246,70.17501781128324,0.23256465692072364
34,Uganda,UGA,241550.0,39017352.0,1048.2086181640625,5.910313129425049,161.52909128544815,0.1508816396654919
35,Turkmenistan,TKM,488100.0,5449003.0,758.5288696289062,3.3202669620513916,11.163702110223316,0.322081588238924
36,Turkey,TUR,785350.0,76278000.0,4188.44921875,6.175473213195801,97.12612211116063,0.27730275368449064
37,Tunisia,TUN,163610.0,10761788.0,1798.5760498046875,5.829874038696289,65.77707964060876,0.2755862296945155
38,Trinidad and Tobago,TTO,5130.0,1279701.0,632.7764892578125,5.998655319213867,249.4543859649123,0.10896127670226409
39,Tonga,TON,750.0,64648.6796875,248.2576904296875,5.417222023010254,86.19823958333333,0.15978939377021176
40,Togo,TGO,56790.0,7230153.0,1792.6395263671875,5.8877668380737305,127.31384046487058,0.24159691718796467
41,East Timor,TLS,14870.0,1158159.25,1207.444091796875,5.40377140045166,77.88562542030935,0.2853118337596066
42,Thailand,THA,513120.0,67168032.0,1900.236572265625,5.825567245483398,130.90121608980357,0.20347100340869895
43,United Republic of Tanzania,TZA,947300.0,53073512.0,2310.77978515625,5.494803428649902,56.0260867729336,0.2702872337033984
44,Tajikistan,TJK,141380.0,8586852.0,1806.8427734375,5.523361682891846,60.73597397085868,0.28608997114957885
45,Taiwan,TWN,36193.0,22751734.0,7864.5703125,8.151829719543457,628.6224960627745,0.2407053067433994
46,Syria,SYR,185180.0,18418124.0,2151.357421875,6.158878803253174,99.46065449832595,0.2534480194568363
47,Switzerland,CHE,41290.400390625,8252552.0,1586.8583984375,6.53450345993042,199.86611711020717,0.1949368426899604
48,Sweden,SWE,447430.0,8988235.0,1251.040771484375,5.383205890655518,20.08858368906868,0.31753838379874766
49,eSwatini,SWZ,17360.0,1257793.25,273.8956604003906,4.755389213562012,72.45352822580645,0.13622333339600412
50,Suriname,SUR,163820.0,538966.0625,1011.4223022460938,5.15852165222168,3.289989393846905,0.47709300038241576
51,South Sudan,SDS,0.0,0.0,0.0,0.0,0.0,0.0
52,Sudan,SDN,,0.0,0.0,0.0,0.0,0.0
