name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Norway,NOR,625217.1094,4770851,394.0214233,4.666953087,7.630710882,0
North Korea,PRK,120540,24465044,755.2259521,5.963479996,202.9620375,0
Nigeria,NGA,923770,180844896,1915.468384,6.105461121,195.7683146,0
Niger,NER,1267000,19867374,337.5419312,4.464794159,15.68064246,0
Nicaragua,NIC,130370,6033191,715.8317261,5.02384901,46.2774488,0
New Zealand,NZL,267710,4087545.75,1221.08252,6.164120197,15.26855833,0
New Zealand,NIU,0,0,0,0,0,0
New Zealand,COK,0,0,0,0,0,0
Netherlands,NLD,41540,16644701,1324.053345,6.716489792,400.6909244,0
Netherlands,ABW,180,79134.4375,1014.690857,6.77263546,439.6357639,0
Netherlands,CUW,444,140324.2656,855.7932129,6.536822319,316.0456433,0
Nepal,NPL,147180,29468940,2956.382324,6.467153549,200.2238076,0
Nauru,NRU,20,5591.008301,342.1217651,5.835166931,279.550415,0
Namibia,NAM,824290,2450764.5,1001.483643,4.631325245,2.973182375,0
Mozambique,MOZ,799380,27675058,678.0994263,4.652038097,34.62065351,0
Morocco,MAR,446550,34542896,3752.405762,6.594169617,77.35504647,0
Western Sahara,SAH,0,0,0,0,0,0
Montenegro,MNE,13810,619586.8125,88.93154907,4.223993301,44.86508418,0
Mongolia,MNG,1564120,2961477.25,622.4331055,4.013881207,1.893382381,0
Moldova,MDA,33850,3983814.5,418.0222778,5.244390965,117.6902363,0
Monaco,MCO,2,0,0,0,0,0
Mexico,MEX,1964380,126114568,3923.262939,7.063383579,64.20069844,0
Mauritius,MUS,2040,1164498.375,1523.785522,6.967194557,570.8325368,0
Mauritania,MRT,1030700,3970832.5,1593.290039,4.494728088,3.852558941,0
Malta,MLT,320,350438.0625,2698.840576,7.638550758,1095.118945,0
Mali,MLI,1240190,17663660,1763.140625,4.679172516,14.24270475,0
Maldives,MDV,300,2923.213623,2687.191895,7.896252155,9.74404541,0
Malaysia,MYS,330345,28802140,1560.758423,6.204172134,87.18806097,0
Malawi,MWI,118480,17192848,801.3811646,5.841880798,145.1118163,0
Madagascar,MDG,587295,24016984,1078.516724,4.768111706,40.89424225,0
Macedonia,MKD,25710,2091748.125,287.678894,5.051345348,81.3593203,0
Luxembourg,LUX,2590,585333.9375,774.7072144,6.04398632,225.9976593,0
Lithuania,LTU,65286.00098,2851015,478.3836365,4.840510845,43.66962224,0
Liechtenstein,LIE,160,25435.15234,211.7486267,5.310063839,158.9697021,0
Libya,LBY,1759540,6247263.5,283.3500977,3.699000359,3.550509508,0
Liberia,LBR,111370,4178029,1341.568115,5.056361198,37.5148514,0
Lesotho,LSO,30360,2098287.5,332.176239,4.836105824,69.11355402,0
Lebanon,LBN,10450,4737536,8375.43457,7.58093977,453.3527273,0
Latvia,LVA,64490,1911813.25,795.8779907,5.062041283,29.64511165,0
Laos,LAO,236800,6785718,335.2892456,4.40446806,28.65590372,0
Kyrgyzstan,KGZ,199949.0039,6245584.5,2378.594238,5.076612949,31.23588704,0
Kuwait,KWT,17820,3608091.25,5440.741699,7.504605293,202.4742565,0
Kosovo,KOS,0,0,0,0,0,0
Kiribati,KIR,810,13456.07129,2113.892578,6.434110641,16.61243369,0
Kenya,KEN,580370,45877160,1922.672119,6.024056435,79.04812447,0
Kazakhstan,KAZ,2724901.875,17586148,549.262085,3.707410097,6.453864692,0
Jordan,JOR,89320,7561942.5,3190.071777,7.053816795,84.66124608,0
Japan,JPN,377971.0156,122092472,3618.704346,7.198842049,323.0207263,0
Jamaica,JAM,10990,2700375,579.0610962,5.878528118,245.7120109,0
Italy,ITA,301340,57610352,2079.87085,6.734620571,191.1805668,0
Israel,ISR,22070,7838640.5,2542.076416,7.240074158,355.171749,0
Israel,PSX,0,0,0,0,0,0
Ireland,IRL,70280,4519998,1225.085938,5.758285999,64.31414343,0
Iraq,IRQ,435051.9922,36225592,1004.958252,5.775515079,83.2672707,0
Iran,IRN,1745150,79036952,798.690918,5.075572014,45.28948916,0
Indonesia,IDN,1913580,246952304,2261.763672,6.458518505,129.052511,0
India,IND,3287259.063,1299168896,2224.739746,6.660974503,395.2134198,0
Iceland,ISL,103000,287736.9063,225.0841217,4.430034161,2.793562197,0
Hungary,HUN,93030,9857545,1071.744751,5.576202869,105.9609266,0
Honduras,HND,112490,8011282,359.9261475,5.219411373,71.21772602,0
Haiti,HTI,27750,10156532,3917.493408,6.874735355,366.0011532,0
Guyana,GUY,214970,737494.75,730.9693604,5.075558186,3.43068684,0
Guinea-Bissau,GNB,36130,1731476,1249.670532,5.082047462,47.92349848,0
Guinea,GIN,245860,12428349,997.1470337,5.03576088,50.55051249,0
Guatemala,GTM,108890,16333824,1099.040283,5.889927864,150.0029755,0
Grenada,GRD,340,82958.32031,353.7675476,5.815490246,243.9950597,0
Greece,GRC,131960,10104301,3891.10791,6.527540207,76.57093816,0
Ghana,GHA,238540,27088584,2021.679688,5.867540359,113.5599229,0
Germany,DEU,357408.9844,80588328,941.1124268,6.179688454,225.4793011,0
Georgia,GEO,69700,3952611,1547.440552,5.607027054,56.70890961,0
Gambia,GMB,11300,1719522.625,1325.735474,6.124984264,152.1701438,0
Gabon,GAB,267670,1635874,532.2154541,3.75731802,6.111532858,0
France,FRA,549086.9922,64697276,2345.831543,6.17135334,117.8270054,0
France,SPM,0,0,0,0,0,0
France,WLF,0,0,0,0,0,0
France,MAF,54.4,16429.51172,835.8376465,6.728434563,302.0130831,0
France,BLM,0,0,0,0,0,0
France,PYF,4000,207254.4375,419.9107056,5.566264629,51.81360938,0
France,NCL,18580,177864.9063,276.3650513,3.638750315,9.572922834,0
France,ATF,0,0,0,0,0,0
Finland,ALD,0,0,0,0,0,0
Finland,FIN,338446.0156,5192362,470.8039856,4.498980999,15.34177316,0
Fiji,FJI,18270,765357.6875,947.1563721,5.466443062,41.89149904,0
Ethiopia,ETH,1104300,99300664,726.5098877,5.309319973,89.92181835,0
Estonia,EST,45340,1217453.625,1171.847534,5.776817799,26.8516459,0
Eritrea,ERI,117600,5310806,137.5957947,4.21796751,45.15991497,0
Equatorial Guinea,GNQ,28050,798557.625,99.84975433,3.852036238,28.46907754,0
El Salvador,SLV,21040,6041174,1305.977173,6.348780632,287.1280418,0
Egypt,EGY,1001450,90010944,8845.599609,8.078832626,89.88061711,0
Ecuador,ECU,256370,15604750,1019.175354,5.811301231,60.86808129,0
Dominican Republic,DOM,48670,10329865,2991.254395,6.79308176,212.2429628,0
Dominica,DMA,750,61063.70313,163.2728577,4.823924541,81.41827083,0
Djibouti,DJI,23200,797785.875,1173.531006,5.391183376,34.3873222,0
Denmark,GRL,410450,25465.77344,265.2268066,5.069518566,0.062043546,0
Denmark,FRO,1396.000061,32990.69922,279.7089233,4.813144207,23.632305,0
